artist,song
Ed Sheeran,Shape of You
Mark Ronson,Uptown Funk (feat. Bruno Mars)
Carine,Lolita
Maroon 5,Sugar
Katy Perry,Roar
ELYAZ,Remember Home
OneRepublic,Counting Stars
Justin Bieber,Sorry
Ed Sheeran,Thinking out Loud
Katy Perry,Dark Horse
Ed Sheeran,Perfect
Alan Walker,Faded
Passenger,Let Her Go
Lee Isaacs,Runaway Romeo
Maroon 5,Girls Like You
Major Lazer,Lean On (feat. MØ & DJ Snake)
Kris James,Caught Feelings
Taylor Swift,Shake It Off
Taylor Swift,Blank Space
Claire Ernst,Broke
Adele,Hello
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez)
Lee Isaacs,Postcard
Justin Bieber,Baby
The Chainsmokers,Closer
Lee Isaacs,In Another Life
Dua Lipa,New Rules
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie)
Close to Monday,Animals
Fifth Harmony,Work from Home (feat. Ty Dolla $ign)
Calvin Harris,This Is What You Came For
NIA ROSS,NO GO
Sia,Chandelier
Meghan Trainor,All About That Bass
Bruno Mars,The Lazy Song
MAGIC!,Rude
Shawn Mendes,Treat You Better
Lee Isaacs,Watching the Sunset
Ellie Goulding,Love Me Like You Do
John Legend,All of Me
Jealous Friend,Boogie
Christina Perri,A Thousand Years
Avicii,Wake Me Up - Radio Edit
Nicole Ordes,Gravity
Adele,Rolling in the Deep
Justin Bieber,What Do You Mean?
Ryan Robinette,Beach Bummin' - SEGØ Remix
Fifth Harmony,Worth It (feat. Kid Ink)
Rihanna,Diamonds
Ryan Robinette,You Got It (Ryan Riback Remix)
Jason Mraz,I'm Yours
Jessie J,"Flashlight - From ""Pitch Perfect 2"" Soundtrack"
Bruno Mars,That's What I Like
Jennifer Lopez,On The Floor
Ariana Grande,Side To Side
Gotye,Somebody That I Used To Know
Adele,Someone Like You
Tones And I,Dance Monkey
ZAYN,Dusk Till Dawn (feat. Sia)
The Chainsmokers,Don't Let Me Down
Camila Cabello,Havana (feat. Young Thug)
Jessie J,Bang Bang
Coldplay,Hymn for the Weekend
Bruno Mars,Just the Way You Are
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)"
David Guetta,Titanium
BTS,Dynamite
Justin Bieber,Love Yourself
Lady Gaga,Bad Romance
a-ha,Take on Me
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
Bruno Mars,24K Magic
P!nk,Just Give Me a Reason (feat. Nate Ruess)
Shawn Mendes,Señorita
James Arthur,Say You Won't Let Go
Taylor Swift,Bad Blood
Sam Smith,I'm Not The Only One
Ellie Goulding,Burn
Shawn Mendes,Stitches
Carly Rae Jepsen,Call Me Maybe
Charlie Puth,Attention
Lady Gaga,Shallow
Katy Perry,Last Friday Night (T.G.I.F.)
Taylor Swift,You Belong With Me
Pitbull,Timber (feat. Ke$ha)
Whitney Houston,I Will Always Love You
Sam Smith,Too Good At Goodbyes
Beyoncé,Halo
Rick Astley,Never Gonna Give You Up
Taylor Swift,Look What You Made Me Do
Lukas Graham,7 Years
Ariana Grande,Problem
Ed Sheeran,Photograph
Katy Perry,Bon appétit
Bruno Mars,When I Was Your Man
Ariana Grande,7 rings
Sia,Elastic Heart
Shakira,Hips Don't Lie (feat. Wyclef Jean)
